ingr_id,ingr_name
0,Творог
1,Куриное яйцо
2,Пшеничная мука
3,Сахар
4,Подсолнечное масло
5,Яблоко
6,Растительное масло
7,Разрыхлитель
8,Свинина
9,Молотая паприка
10,Сушеный розмарин
11,Молотый кориандр 
12,Перец чили хлопьями
13,Оливковое масло
14,Морковь
15,Сливочное масло
16,Мед
17,Чеснок
18,Кунжут
19,Лимон
20,Зеленый лук
21,Соль
22,Молотый черный перец
23,Темный шоколад
24,Коричневый сахар
25,Грецкие орехи
26,Мясной фарш
27,Соус болоньезе
28,Молоко
29,Готовые сухие листы лазаньи
30,Твердый сыр
31,Спагетти
32,Красный лук
33,Бекон
34,Сливки 20%-ные
35,Тертый сыр пармезан 
36,Консервированная фасоль
37,Рукола
38,Творожный сыр
39,Белый хлеб
40,Помидоры
41,Бальзамический крем
42,Свежемолотый черный перец
43,Зелень
44,Перец чили
45,Петрушка
46,Сладкий перец
47,Капуста брокколи
48,Тимьян
49,Мускатный орех
50,Паприка
51,Репчатый лук
52,Сушеный базилик
53,Смешанный фарш
54,Томатное пюре
55,Сыр пармезан
56,Сухие дрожжи
57,Вода
58,Рис арборио
59,Белое сухое вино
60,Куриный бульон
61,Шампиньоны
62,Шафран
63,Макароны
64,Черный перец горошком
65,Сыр
66,Майонез
67,Рис
68,Овощной бульон
69,Херес
70,Сливки 35%-ные
71,Помидоры черри
72,Сыр моцарелла
73,Зеленый базилик 
74,Очищенные вареные креветки
75,Консервированный ананас
76,Зеленый салат
77,Лимонный сок
78,Ваниль
79,Сахарная глазурь
80,Топленое масло
81,Кефир
82,Сметана
83,Сода
84,Варенье из айвы
85,Сыр чеддер
86,Сыр гауда
87,Горчичный порошок
88,Бычий хвост
89,Перловая крупа
90,Картофель
91,Листья тимьяна
92,Лавровый лист
93,Хрен
94,Чечевица
95,Коричневый рис басмати 
96,Козий сыр
97,Стебель сельдерея
98,Кумин (зира)
99,Молотый душистый перец
100,Морская соль
101,Листья петрушки
102,Листья кинзы (кориандра)
103,Щавель
104,Фисташки
105,Соленые огурцы
106,Огурцы
